Nutrient,Age-sex group (*: excludes pregnant or breastfeeding),N,Food group_level1,Food group_level2,Food group_level3,Amount,Amount_SE,L95%CI,U95%CI,Unit,Percentage,Percentage_SE,Interpretation_Notes,Food_Group_Level
Calcium,Enfants 1 à 8 ans,118,Fruits et légumes,Fruits,Pêches et nectarines,0.3466663,0.1,0.2,0.5,mg,0.037516094,0,E,3
Calcium,Enfants 1 à 8 ans,133,Fruits et légumes,Fruits,Poires,0.5908857,0.1,0.4,0.8,mg,0.063945429,0,E,3
Calcium,Enfants 1 à 8 ans,94,Fruits et légumes,Fruits,Ananas,0.3497611,0.1,0.2,0.5,mg,0.037851017,0,E,3
Calcium,Enfants 1 à 8 ans,37,Fruits et légumes,Fruits,Prunes et pruneaux,0.1064602,0,0,0.2,mg,0.011521084,0,E,3
Calcium,Enfants 1 à 8 ans,2235,Fruits et légumes,Légumes incluant pommes de terre,,28.1662647,1.2,25.9,30.5,mg,3.048142601,0.1,,2
Calcium,Enfants 1 à 8 ans,1068,Fruits et légumes,Légumes incluant pommes de terre,Légumes vert foncé,8.3571281,0.9,6.7,10.1,mg,0.90440527,0.1,,3
Calcium,Enfants 1 à 8 ans,875,Fruits et légumes,Légumes incluant pommes de terre,Légumes jaune foncé ou orange,3.8905595,0.4,3.1,4.7,mg,0.421034889,0,,3
Calcium,Enfants 1 à 8 ans,1773,Fruits et légumes,Légumes incluant pommes de terre,Autres légumes,12.9147921,0.6,11.7,14.1,mg,1.39763396,0.1,,3
Calcium,Enfants 1 à 8 ans,1032,Fruits et légumes,Légumes incluant pommes de terre,Légumes féculents,3.003785,0.2,2.6,3.5,mg,0.325068482,0,,3
Calcium,Enfants 1 à 8 ans,2475,Produits céréaliers,,,101.558661,2.2,97.2,105.9,mg,10.99064019,0.3,,1
Calcium,Enfants 1 à 8 ans,2114,Produits céréaliers,Pains,,57.6398947,1.9,53.9,61.4,mg,6.23776778,0.2,,2
